日期,星期,最高气温,最低气温,天气,风向
2021-07-27,星期二,29,24,阴,东北风2级
2021-07-28,星期三,27,23,阴,东北风2级
2021-07-29,星期四,25,20,小雨,东北风3级
2021-07-30,星期五,32,22,多云,西北风2级
2021-07-31,星期六,32,21,晴,西北风2级
2021-08-01,星期日,33,21,晴,东北风 2级
2021-08-02,星期一,32,21,晴,西南风 2级
2021-08-03,星期二,29,24,多云,南风 2级
2021-08-04,星期三,31,24,多云,西南风 2级
2021-08-05,星期四,30,21,晴,东北风 2级
2021-08-06,星期五,31,22,晴,南风 2级
2021-08-07,星期六,32,23,晴,西南风 2级
2021-08-08,星期日,32,23,小雨,西南风 2级
2021-08-09,星期一,30,22,多云,东南风 2级
2021-08-10,星期二,32,22,晴,西南风 2级
2021-08-11,星期三,30,23,多云,东北风2级
2021-08-12,星期四,29,21,多云,东风2级
2021-08-13,星期五,29,21,多云,南风2级
2021-08-14,星期六,28,22,多云,南风2级
2021-08-15,星期日,28,21,多云,南风2级
2021-08-16,星期一,29,22,小雨,南风2级
2021-08-17,星期二,28,21,多云,东风2级
2021-08-18,星期三,27,21,多云,西南风2级
2021-08-19,星期四,21,18,阴,东南风2级
2021-08-20,星期五,28,20,晴,东北风1级
2021-08-21,星期六,31,23,多云,西南风2级
2021-08-22,星期日,30,21,多云,西南风3级
2021-08-23,星期一,29,20,中雨,西南风2级
2021-08-24,星期二,30,17,晴,西风2级
2021-08-25,星期三,28,17,晴,西风2级
2021-08-26,星期四,29,17,多云,西南风2级
2021-08-27,星期五,29,18,晴,东风2级
2021-08-28,星期六,27,18,多云,东北风1级
2021-08-29,星期日,27,19,多云,西南风2级
2021-08-30,星期一,27,21,多云,东风1级
2021-08-31,星期二,25,18,晴,西风2级
2021-09-01,星期三,29,18,晴,西南风 2级
2021-09-02,星期四,29,20,多云,西南风 2级
2021-09-03,星期五,30,21,多云,西南风 0级
2021-09-04,星期六,26,19,多云,东北风 1级
2021-09-05,星期日,21,20,小雨,北风 1级
2021-09-06,星期一,24,15,多云,东北风 3级
2021-09-07,星期二,27,17,晴,西南风 1级
2021-09-08,星期三,28,18,多云,西风 1级
2021-09-09,星期四,25,17,多云,北风 1级
2021-09-10,星期五,29,19,晴,西南风 0级
2021-09-11,星期六,29,20,晴,东北风1级
2021-09-12,星期日,24,21,阴到小雨,北风2级
2021-09-13,星期一,27,21,多云,东南风1级
2021-09-14,星期二,25,17,多云,东北风1级
2021-09-15,星期三,26,18,晴,西风0级
2021-09-16,星期四,23,17,多云,西南风0级
2021-09-17,星期五,27,17,多云,南风1级
2021-09-18,星期六,22,18,多云,南风1级
2021-09-19,星期日,18,15,小雨,东北风2级
2021-09-20,星期一,25,14,多云,北风0级
2021-09-21,星期二,27,15,晴,西南风1级
2021-09-22,星期三,29,17,多云,北风0级
2021-09-23,星期四,28,19,小雨,南风0级
2021-09-24,星期五,20,18,阴到中雨,北风2级
2021-09-25,星期六,23,19,多云,东风1级
2021-09-26,星期日,20,16,多云,南风4级
2021-09-27,星期一,27,18,多云,东南风0级
2021-09-28,星期二,24,15,晴,西南风1级
2021-09-29,星期三,28,16,晴,西北风0级
2021-09-30,星期四,23,16,晴,东风2级
2021-10-01,星期五,24,14,多云,南风 2级
2021-10-02,星期六,21,18,多云,东南风 1级
2021-10-03,星期日,21,18,多云,北风 1级
2021-10-04,星期一,18,10,小雨,西北风 2级
2021-10-05,星期二,14,9,小雨,西风 2级
2021-10-06,星期三,11,6,多云,南风 0级
2021-10-07,星期四,19,8,晴,北风 0级
2021-10-08,星期五,20,14,多云,西风 0级
2021-10-09,星期六,15,11,多云,南风 2级
2021-10-10,星期日,19,5,多云,北风 0级
2021-10-11,星期一,19,6,晴,东南风2级
2021-10-12,星期二,20,8,多云,南风0级
2021-10-13,星期三,20,14,多云,西南风1级
2021-10-14,星期四,20,12,多云,东北风0级
2021-10-15,星期五,21,4,阴,北风4级
2021-10-16,星期六,13,0,晴,西南风1级
2021-10-17,星期日,16,3,晴,南风2级
2021-10-18,星期一,16,2,晴,北风1级
2021-10-19,星期二,14,2,多云,西风1级
2021-10-20,星期三,14,1,晴,西南风1级
2021-10-21,星期四,20,2,晴,西风1级
2021-10-22,星期五,18,4,晴,南风1级
2021-10-23,星期六,17,4,晴,西南风2级
2021-10-24,星期日,18,5,晴,东南风1级
2021-10-25,星期一,18,7,阴,南风1级
2021-10-26,星期二,23,4,晴,北风2级
2021-10-27,星期三,21,6,多云,西南风1级
2021-10-28,星期四,19,8,多云,东北风1级
2021-10-29,星期五,17,5,晴,西南风1级
2021-10-30,星期六,19,7,多云,西风1级
2021-10-31,星期日,19,4,晴,东风1级
2021-11-01,星期一,13,6,多云~阴,西南风 2级
2021-11-02,星期二,13,4,多云~晴,西南风 2级
2021-11-03,星期三,11,5,雾~晴,西南风 1级
2021-11-04,星期四,12,7,雾~多云,东北风 1级
2021-11-05,星期五,13,10,雾~小雨,东北风 2级
2021-11-06,星期六,12,0,小雨~大雪,东北风 3级
2021-11-07,星期日,1,-5,大雪~多云,北风 2级
2021-11-08,星期一,8,-2,晴,西风 2级
2021-11-09,星期二,12,0,晴,西北风 2级
2021-11-10,星期三,16,1,晴,西北风 2级
2021-11-11,星期四,14,-2,晴,西北风2级
2021-11-12,星期五,15,-1,晴,西南风2级
2021-11-13,星期六,17,-1,晴,西北风1级
2021-11-14,星期日,16,1,晴~多云,西北风1级
2021-11-15,星期一,11,0,多云~晴,东北风2级
2021-11-16,星期二,12,2,多云~雾,西南风2级
2021-11-17,星期三,11,0,雾,西北风1级
2021-11-18,星期四,10,1,雾~多云,北风1级
2021-11-19,星期五,9,3,多云~阴,东北风2级
2021-11-20,星期六,8,0,多云,东北风1级
2021-11-21,星期日,8,-5,晴,西北风3级
2021-11-22,星期一,4,-6,晴,西北风2级
2021-11-23,星期二,9,-4,晴,西南风2级
2021-11-24,星期三,13,-3,晴,西风1级
2021-11-25,星期四,14,-2,多云~晴,西北风1级
2021-11-26,星期五,13,-2,多云~晴,西北风1级
2021-11-27,星期六,9,0,多云,西南风1级
2021-11-28,星期日,8,1,多云,西北风1级
2021-11-29,星期一,7,-3,小雨~多云,东北风2级
2021-11-30,星期二,6,-6,多云~晴,西北风3级
2021-12-01,星期三,9,-5,多云,西南风 1级
2021-12-02,星期四,13,-2,多云,西南风 1级
2021-12-03,星期五,13,-1,晴,东风 1级
2021-12-04,星期六,13,-5,晴,东风 1级
2021-12-05,星期日,11,-2,多云,南风 1级
2021-12-06,星期一,12,-3,多云,南风 1级
2021-12-07,星期二,9,-3,阴,南风 2级
2021-12-08,星期三,8,0,小雨,南风 1级
2021-12-09,星期四,4,-3,晴,西风 1级
2021-12-10,星期五,9,-2,阴,西南风 2级
2021-12-11,星期六,10,-4,阴,西南风1级
2021-12-12,星期日,4,-7,晴,西南风1级
2021-12-13,星期一,4,-7,晴,南风1级
2021-12-14,星期二,6,-6,晴,南风1级
2021-12-15,星期三,4,-5,多云,东南风1级
2021-12-16,星期四,4,-10,晴,北风3级
2021-12-17,星期五,1,-7,晴,南风2级
2021-12-18,星期六,5,-7,晴,西风1级
2021-12-19,星期日,8,-4,多云,南风0级
2021-12-20,星期一,12,-4,晴,东南风1级
2021-12-21,星期二,8,-3,多云,西风1级
2021-12-22,星期三,5,-4,晴,南风1级
2021-12-23,星期四,-1,-8,阴,东风2级
2021-12-24,星期五,-2,-12,晴,东风1级
2021-12-25,星期六,-3,-16,晴,东北风1级
2021-12-26,星期日,0,-10,晴,西南风1级
2021-12-27,星期一,6,-9,晴,西南风1级
2021-12-28,星期二,5,-8,晴,南风1级
2021-12-29,星期三,5,-7,晴,南风1级
2021-12-30,星期四,7,-7,晴,南风0级
2021-12-31,星期五,4,-7,晴,东北风1级
2022-01-01,星期六,8,-10,晴,西北风 1级
2022-01-02,星期日,2,-9,多云,西南风 1级
2022-01-03,星期一,7,-8,晴,西风 1级
2022-01-04,星期二,3,-7,多云,东风 2级
2022-01-05,星期三,3,-7,晴,北风 2级
2022-01-06,星期四,6,-7,晴,东风 1级
2022-01-07,星期五,4,-5,晴,西风 2级
2022-01-08,星期六,9,-5,多云,西南风 1级
2022-01-09,星期日,2,-4,多云,东北风 1级
2022-01-10,星期一,4,-10,晴,东北风 2级
2022-01-11,星期二,1,-8,晴,南风1级
2022-01-12,星期三,2,-10,晴,北风2级
2022-01-13,星期四,5,-8,晴,北风1级
2022-01-14,星期五,2,-8,多云,西南风1级
2022-01-15,星期六,6,-11,晴,东北风2级
2022-01-16,星期日,1,-10,晴,西风1级
2022-01-17,星期一,4,-8,晴,南风1级
2022-01-18,星期二,3,-7,多云,东北风2级
2022-01-19,星期三,0,-7,多云,西南风2级
2022-01-20,星期四,-1,-6,多云,东南风1级
2022-01-21,星期五,2,-5,多云,西南风1级
2022-01-22,星期六,2,-6,晴,东北风1级
2022-01-23,星期日,3,-5,阴,西南风1级
2022-01-24,星期一,7,-6,阴,西风1级
2022-01-25,星期二,3,-5,晴,西风2级
2022-01-26,星期三,4,-7,多云,北风1级
2022-01-27,星期四,4,-8,多云,东北风1级
2022-01-28,星期五,4,-8,多云,东南风2级
2022-01-29,星期六,5,-7,晴,南风1级
2022-01-30,星期日,4,-6,多云,西南风1级
2022-01-31,星期一,4,-9,晴,西北风2级
2022-02-01,星期二,2,-11,晴,西风 1级
2022-02-02,星期三,4,-10,晴,西风 1级
2022-02-03,星期四,4,-9,晴,东风 2级
2022-02-04,星期五,2,-10,晴,西北风 1级
2022-02-05,星期六,4,-7,晴,西南风 2级
2022-02-06,星期日,6,-6,多云,西北风 1级
2022-02-07,星期一,5,-7,多云,西风 1级
2022-02-08,星期二,8,-6,晴,西北风 1级
2022-02-09,星期三,8,-7,多云,西北风 2级
2022-02-10,星期四,10,-4,晴,西南风 1级
2022-02-11,星期五,9,-4,多云,东风2级
2022-02-12,星期六,0,-6,多云,东北风1级
2022-02-13,星期日,-3,-9,大雪,东风1级
2022-02-14,星期一,0,-12,晴,东北风1级
2022-02-15,星期二,-3,-11,多云,西风1级
2022-02-16,星期三,-1,-10,晴,东北风2级
2022-02-17,星期四,-1,-8,多云,西南风1级
2022-02-18,星期五,2,-9,多云,北风1级
2022-02-19,星期六,1,-12,多云,西北风1级
2022-02-20,星期日,5,-8,晴,西南风2级
2022-02-21,星期一,4,-10,多云,北风1级
2022-02-22,星期二,4,-9,晴,西风1级
2022-02-23,星期三,7,-5,晴,西风1级
2022-02-24,星期四,11,-3,晴,西南风1级
2022-02-25,星期五,13,-1,晴,北风1级
2022-02-26,星期六,12,-3,晴,西风1级
2022-02-27,星期日,16,1,晴,西南风2级
2022-02-28,星期一,12,-3,阴,北风2级
2022-03-01,星期二,17,-4,晴,南风 1级
2022-03-02,星期三,12,-1,晴,东北风 1级
2022-03-03,星期四,13,-1,晴,西风 1级
2022-03-04,星期五,12,-5,晴,北风 2级
2022-03-05,星期六,12,-3,晴,东南风 1级
2022-03-06,星期日,16,-2,多云,西南风 1级
2022-03-07,星期一,18,2,多云,南风 2级
2022-03-08,星期二,17,3,晴,东北风 1级
2022-03-09,星期三,22,6,多云,西南风 1级
2022-03-10,星期四,14,9,多云,东北风 1级
2022-03-11,星期五,14,8,多云,东风1级
2022-03-12,星期六,16,6,多云,西风1级
2022-03-13,星期日,13,2,多云,东南风2级
2022-03-14,星期一,19,5,多云,西风1级
2022-03-15,星期二,20,5,晴,东北风2级
2022-03-16,星期三,13,2,多云,南风2级
2022-03-17,星期四,2,-3,多云,东风1级
2022-03-18,星期五,4,-2,小雪,西南风1级
2022-03-19,星期六,6,-3,多云,南风1级
2022-03-20,星期日,11,1,多云,西北风1级
2022-03-21,星期一,11,-1,晴,东风1级
2022-03-22,星期二,10,0,小雨,南风2级
2022-03-23,星期三,13,2,晴,东北风1级
2022-03-24,星期四,14,6,多云,北风1级
2022-03-25,星期五,14,2,多云,东北风3级
2022-03-26,星期六,20,0,晴,西北风3级
2022-03-27,星期日,14,3,晴,西南风1级
2022-03-28,星期一,17,8,多云,南风3级
2022-03-29,星期二,15,8,多云,东北风2级
2022-03-30,星期三,10,1,多云,西风2级
2022-03-31,星期四,16,1,晴,东北风2级
2022-04-01,星期五,15,3,多云,西南风 1级
2022-04-02,星期六,20,6,晴,北风 1级
2022-04-03,星期日,22,8,晴,西南风 2级
2022-04-04,星期一,23,10,晴,西南风 1级
2022-04-05,星期二,25,7,晴,北风 2级
2022-04-06,星期三,13,3,晴,南风 2级
2022-04-07,星期四,24,9,晴,西南风 1级
2022-04-08,星期五,27,13,晴,西南风 1级
2022-04-09,星期六,28,12,晴,东南风 2级
2022-04-10,星期日,30,16,多云,西北风 1级
2022-04-11,星期一,28,14,多云,北风2级
2022-04-12,星期二,20,8,多云,南风2级
2022-04-13,星期三,19,7,阴,南风3级
2022-04-14,星期四,20,8,晴,东北风3级
2022-04-15,星期五,20,6,多云,西风2级
2022-04-16,星期六,23,10,晴,南风2级
2022-04-17,星期日,20,12,多云,西南风2级
2022-04-18,星期一,22,9,晴,西风1级
2022-04-19,星期二,27,12,晴,西南风1级
2022-04-20,星期三,29,17,多云,西南风3级
2022-04-21,星期四,29,11,多云,东北风2级
2022-04-22,星期五,22,12,晴,西南风1级
2022-04-23,星期六,29,15,多云,西南风1级
2022-04-24,星期日,27,14,多云,东北风1级
2022-04-25,星期一,29,18,晴,西北风1级
2022-04-26,星期二,24,12,晴,东北风3级
2022-04-27,星期三,16,9,小雨,东北风2级
2022-04-28,星期四,16,6,晴,南风2级
2022-04-29,星期五,21,13,多云,北风1级
2022-04-30,星期六,21,8,晴,西风2级
2022-05-01,星期日,26,11,晴,东风 2级
2022-05-02,星期一,25,14,多云,南风 1级
2022-05-03,星期二,32,17,晴,西南风 3级
2022-05-04,星期三,33,21,多云,南风 2级
2022-05-05,星期四,30,16,多云,南风 2级
2022-05-06,星期五,21,8,多云,东北风 1级
2022-05-07,星期六,18,9,多云,西南风 1级
2022-05-08,星期日,15,9,多云,西南风 1级
2022-05-09,星期一,18,7,晴,西南风 2级
2022-05-10,星期二,20,10,多云,北风 1级
2022-05-11,星期三,20,11,多云,西南风3级
2022-05-12,星期四,17,8,多云,西南风2级
2022-05-13,星期五,22,9,多云,北风2级
2022-05-14,星期六,24,10,晴,东北风2级
2022-05-15,星期日,25,10,晴,西风1级
2022-05-16,星期一,28,14,多云,南风1级
2022-05-17,星期二,29,16,晴,东风1级
2022-05-18,星期三,29,17,多云,西南风1级
2022-05-19,星期四,30,17,多云,西南风2级
2022-05-20,星期五,31,17,多云,西南风1级
2022-05-21,星期六,34,19,晴,西北风2级
2022-05-22,星期日,33,20,多云,东风1级
2022-05-23,星期一,32,20,晴,西南风2级
2022-05-24,星期二,33,20,多云,西南风1级
2022-05-25,星期三,29,16,多云,西南风2级
2022-05-26,星期四,33,17,晴,北风3级
2022-05-27,星期五,34,21,多云,西南风2级
2022-05-28,星期六,36,25,多云,西南风2级
2022-05-29,星期日,30,14,晴,北风2级
2022-05-30,星期一,33,15,晴,东北风2级
2022-05-31,星期二,32,15,晴,北风1级
2022-06-01,星期三,34,19,晴,西风 2级
2022-06-02,星期四,35,21,多云,南风 2级
2022-06-03,星期五,36,22,多云,东北风 2级
2022-06-04,星期六,32,20,多云,西北风 1级
2022-06-05,星期日,36,20,多云,西北风 2级
2022-06-06,星期一,30,16,晴,东北风 1级
2022-06-07,星期二,27,17,多云,东风 4级
2022-06-08,星期三,26,16,多云,东风 2级
2022-06-09,星期四,29,18,多云,东风 1级
2022-06-10,星期五,27,20,多云,东风 1级
2022-06-11,星期六,28,19,小雨到大雨,东北风2级
2022-06-12,星期日,29,17,多云,西南风2级
2022-06-13,星期一,27,17,多云,东北风2级
2022-06-14,星期二,34,22,晴,南风1级
2022-06-15,星期三,28,19,多云,西风2级
2022-06-16,星期四,31,21,晴,东北风2级
2022-06-17,星期五,32,21,多云,东风3级
2022-06-18,星期六,33,21,多云,东风2级
2022-06-19,星期日,34,22,多云,东南风2级
2022-06-20,星期一,37,25,多云,西南风1级
2022-06-21,星期二,39,26,多云,北风1级
2022-06-22,星期三,29,22,小雨,东北风1级
2022-06-23,星期四,35,22,多云,南风2级
2022-06-24,星期五,37,24,晴,北风1级
2022-06-25,星期六,40,27,多云,东风1级
2022-06-26,星期日,32,25,多云,东北风2级
2022-06-27,星期一,28,23,小雨,北风1级
2022-06-28,星期二,28,21,多云,西北风2级
2022-06-29,星期三,28,21,多云,北风1级
2022-06-30,星期四,29,22,多云,西北风1级
2022-07-01,星期五,31,22,多云,东北风 1级
2022-07-02,星期六,31,24,多云,西南风 2级
2022-07-03,星期日,28,23,小雨,西风 1级
2022-07-04,星期一,30,24,多云,东风 1级
2022-07-05,星期二,31,23,大雨,东南风 2级
2022-07-06,星期三,31,20,晴,东风 1级
2022-07-07,星期四,34,25,晴,西南风 1级
2022-07-08,星期五,34,24,多云,西北风 1级
2022-07-09,星期六,30,26,小雨,西北风 1级
2022-07-10,星期日,29,20,晴,南风 1级
2022-07-11,星期一,28,23,阴,西风1级
2022-07-12,星期二,27,21,阴,东北风2级
2022-07-13,星期三,32,23,晴,西南风1级
2022-07-14,星期四,32,21,多云,西南风1级
2022-07-15,星期五,34,25,多云,东风1级
2022-07-16,星期六,33,25,多云,西南风1级
2022-07-17,星期日,36,23,多云,东北风1级
2022-07-18,星期一,34,22,多云,西南风1级
2022-07-19,星期二,33,24,多云,西南风1级
2022-07-20,星期三,32,20,晴,南风3级
2022-07-21,星期四,33,23,多云,东风1级
2022-07-22,星期五,32,22,小雨,西南风2级
2022-07-23,星期六,33,21,晴,西南风3级
2022-07-24,星期日,34,25,晴,西南风2级
2022-07-25,星期一,34,24,多云,西南风1级
